"","id","masa.muestra","balanza.muestra","volumen.aforo","volumen.alicuota","clase.pipeta","clase.bureta","Temperatura.calcinado","balanza.calcinado","volumen.EDTA","masas.finales","replica"
"43","113d",1.2008,"ME204",0.1,10,"B","B",NA,"ME204",6.35,NA,2
"44","114d",1.2005,"ME204",0.1,10,"B","B",NA,"ME204",6.31,NA,2
"45","115d",1.2001,"ME204",0.1,10,"B","B",NA,"ME204",6.39,NA,2
"46","116d",1.1991,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.1974,2
"47","117d",1.2006,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.104,2
"48","118d",1.2001,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0179,2
"49","119d",1.1996,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.1169,2
"50","120d",1.2009,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.1115,2
"51","121d",3.001,"ME204",0.25,10,"A","A",NA,"ME204",2.66,NA,2
"52","122d",3.0009,"ME204",0.25,10,"A","A",NA,"ME204",2.6,NA,2
"53","123d",2.9974,"ME204",0.25,10,"A","A",NA,"ME204",2.55,NA,2
"54","124d",2.9991,"ME204",0.25,10,"A","A",NA,"ME204",2.54,NA,2
"55","125d",3.0009,"ME204",0.25,10,"A","A",NA,"ME204",2.79,NA,2
"56","126d",2.9993,"ME204",0.25,10,"A",NA,1000,"ME204",NA,-0.000300000000000002,2
"57","127d",3.0004,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.1479,2
"58","128d",3.0002,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.09,2
"59","129d",3.0011,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.1088,2
"60","130d",2.9993,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0376,2
"61","101d",1.1999,"ME204",0.05,5,"A","A",NA,"ME204",12.65,NA,3
"62","102d",1.2003,"ME204",0.05,5,"A","A",NA,"ME204",12.72,NA,3
"63","103d",1.2013,"ME204",0.05,5,"A","A",NA,"ME204",12.59,NA,3
"64","104d",1.1998,"ME204",0.05,5,"A","A",NA,"ME204",12.73,NA,3
"65","105d",1.2003,"ME204",0.05,5,"A","A",NA,"ME204",12.58,NA,3
"66","106d",1.1987,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.2204,3
"67","107d",1.2006,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.2966,3
"68","108d",1.2002,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.1479,3
"69","109d",1.2006,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.1966,3
"70","110d",1.1996,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.2907,3
"71","111d",1.2017,"ME204",0.1,10,"B","B",NA,"ME204",6.47,NA,3
"72","112d",1.1999,"ME204",0.1,10,"B","B",NA,"ME204",6.3,NA,3
"73","113d",1.2001,"ME204",0.1,10,"B","B",NA,"ME204",6.44,NA,3
"74","114d",1.1999,"ME204",0.1,10,"B","B",NA,"ME204",6.23,NA,3
"75","115d",1.2008,"ME204",0.1,10,"B","B",NA,"ME204",6.36,NA,3
"76","116d",1.1992,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.1859,3
"77","117d",1.2002,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.2379,3
"78","118d",1.2006,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.1348,3
"79","119d",1.1988,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.1329,3
"80","120d",1.2002,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.1118,3
"81","121d",2.9994,"ME204",0.25,10,"A","A",NA,"ME204",2.7,NA,3
"82","122d",3.0014,"ME204",0.25,10,"A","A",NA,"ME204",2.63,NA,3
"83","123d",3.0007,"ME204",0.25,10,"A","A",NA,"ME204",2.44,NA,3
"84","124d",2.9983,"ME204",0.25,10,"A","A",NA,"ME204",2.48,NA,3
"85","125d",3.0009,"ME204",0.25,10,"A","A",NA,"ME204",2.75,NA,3
"86","126d",3.0002,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.1872,3
"87","127d",2.9994,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0555,3
"88","128d",2.9996,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.1446,3
"89","129d",2.9987,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.1178,3
"90","130d",3.0004,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.2296,3
