"","id","masa.muestra","balanza.muestra","volumen.aforo","volumen.alicuota","clase.pipeta","clase.bureta","Temperatura.calcinado","balanza.calcinado","volumen.EDTA","masas.finales","replica"
"24","124d",2.9999,"ME204",0.25,10,"A","A",NA,"ME204",4.42,NA,1
"25","125d",3.0001,"ME204",0.25,10,"A","A",NA,"ME204",4.39,NA,1
"26","126d",3.0004,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.038,1
"27","127d",3.0009,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0435,1
"28","128d",3.0003,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0387,1
"29","129d",3.001,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.038,1
"30","130d",3.0011,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0381,1
"31","101d",1.1971,"ME204",0.05,5,"A","A",NA,"ME204",21.92,NA,2
"32","102d",1.1996,"ME204",0.05,5,"A","A",NA,"ME204",21.78,NA,2
"33","103d",1.2006,"ME204",0.05,5,"A","A",NA,"ME204",21.92,NA,2
"34","104d",1.1989,"ME204",0.05,5,"A","A",NA,"ME204",21.96,NA,2
"35","105d",1.199,"ME204",0.05,5,"A","A",NA,"ME204",22.04,NA,2
"36","106d",1.2003,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.2841,2
"37","107d",1.1996,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.3045,2
"38","108d",1.1983,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.289,2
"39","109d",1.2009,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.3011,2
"40","110d",1.1992,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.2139,2
"41","111d",1.2004,"ME204",0.1,10,"B","B",NA,"ME204",11.07,NA,2
"42","112d",1.2004,"ME204",0.1,10,"B","B",NA,"ME204",11.04,NA,2
"43","113d",1.2015,"ME204",0.1,10,"B","B",NA,"ME204",11,NA,2
"44","114d",1.2002,"ME204",0.1,10,"B","B",NA,"ME204",10.94,NA,2
"45","115d",1.2007,"ME204",0.1,10,"B","B",NA,"ME204",10.82,NA,2
"46","116d",1.2011,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.1473,2
"47","117d",1.1996,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.2414,2
"48","118d",1.1983,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0988,2
"49","119d",1.2001,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.182,2
"50","120d",1.2013,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.1894,2
"51","121d",2.9986,"ME204",0.25,10,"A","A",NA,"ME204",4.52,NA,2
"52","122d",3.001,"ME204",0.25,10,"A","A",NA,"ME204",4.51,NA,2
"53","123d",2.9999,"ME204",0.25,10,"A","A",NA,"ME204",4.45,NA,2
"54","124d",3.0001,"ME204",0.25,10,"A","A",NA,"ME204",4.5,NA,2
"55","125d",2.9997,"ME204",0.25,10,"A","A",NA,"ME204",4.52,NA,2
"56","126d",3.001,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.1868,2
"57","127d",3.0014,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.1261,2
"58","128d",3.0016,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.1466,2
"59","129d",2.999,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0498,2
"60","130d",3.0008,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.155,2
"61","101d",1.1996,"ME204",0.05,5,"A","A",NA,"ME204",21.92,NA,3
"62","102d",1.199,"ME204",0.05,5,"A","A",NA,"ME204",21.72,NA,3
"63","103d",1.2004,"ME204",0.05,5,"A","A",NA,"ME204",21.97,NA,3
"64","104d",1.2,"ME204",0.05,5,"A","A",NA,"ME204",22.02,NA,3
"65","105d",1.2008,"ME204",0.05,5,"A","A",NA,"ME204",22.11,NA,3
"66","106d",1.2018,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.229,3
"67","107d",1.201,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.2396,3
"68","108d",1.1993,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.207,3
"69","109d",1.2001,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.2871,3
"70","110d",1.2014,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.304,3
"71","111d",1.2012,"ME204",0.1,10,"B","B",NA,"ME204",11.02,NA,3
"72","112d",1.1984,"ME204",0.1,10,"B","B",NA,"ME204",11.21,NA,3
"73","113d",1.2009,"ME204",0.1,10,"B","B",NA,"ME204",10.96,NA,3
"74","114d",1.1997,"ME204",0.1,10,"B","B",NA,"ME204",10.99,NA,3
"75","115d",1.1994,"ME204",0.1,10,"B","B",NA,"ME204",10.85,NA,3
"76","116d",1.1989,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.1506,3
"77","117d",1.1997,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.2589,3
"78","118d",1.2007,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.1935,3
"79","119d",1.2014,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.2165,3
"80","120d",1.2001,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.2716,3
"81","121d",2.9999,"ME204",0.25,10,"A","A",NA,"ME204",4.48,NA,3
"82","122d",2.9998,"ME204",0.25,10,"A","A",NA,"ME204",4.51,NA,3
"83","123d",3.001,"ME204",0.25,10,"A","A",NA,"ME204",4.43,NA,3
"84","124d",2.9989,"ME204",0.25,10,"A","A",NA,"ME204",4.53,NA,3
"85","125d",3.0003,"ME204",0.25,10,"A","A",NA,"ME204",4.51,NA,3
"86","126d",3.001,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.1054,3
"87","127d",3.0011,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.1839,3
"88","128d",3.0004,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.188,3
"89","129d",2.9988,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.1377,3
"90","130d",2.9992,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.1541,3
